Text,Category,Target Group,Final Annotation,OpenAI_Annotation,Annotator1,Annotator2,Annotator3
I don't think your style of acting is in demand anymore.,Occupation,Actor,Offensive,Not Offensive,Offensive,Not Offensive,Offensive
You should consider a career change while you still can.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
I heard your agent dropped you. Tough break.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Not Offensive
Your character's actions were inconsistent; it made the storyline confusing.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Offensive,Not Offensive
I didn't recognize you; did you get plastic surgery?,Occupation,Actor,Offensive,Offensive,Not Offensive,Offensive,Offensive
I've seen better acting in school plays.,Occupation,Actor,Not Offensive,Offensive,Not Offensive,Offensive,Not Offensive
I can't believe they cast you for such an important role.,Occupation,Actor,Offensive,Offensive,Offensive,Not Offensive,Offensive
Your voice is so irritating in that character; it's distracting.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Not Offensive
I heard your co-stars found your lack of commitment on set frustrating.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
You're not as versatile as other actors in the industry.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Not Offensive
You should consider a career in commercials; they require less depth.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
I expected more from an actor of your caliber.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Offensive,Not Offensive
Your character was so poorly developed; it's like the writers forgot about you.,Occupation,Actor,Offensive,Offensive,Offensive,Not Offensive,Offensive
You were much better in your early career.,Occupation,Actor,Offensive,Not Offensive,Offensive,Not Offensive,Offensive
I can't believe you accepted such a poorly written script; have your standards dropped?,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Not Offensive
I can't take you seriously in serious roles.,Occupation,Actor,Offensive,Offensive,Not Offensive,Offensive,Offensive
You should retire gracefully; it's time.,Occupation,Actor,Offensive,Offensive,Offensive,Not Offensive,Offensive
Your recent choices make it seem like you're afraid to take risks; playing it safe won't revive your career.,Occupation,Actor,Offensive,Not Offensive,Offensive,Not Offensive,Offensive
I expected a more commanding presence; your character felt overshadowed.,Occupation,Actor,Offensive,Not Offensive,Not Offensive,Offensive,Offensive
Your career has seen better days.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
I don't think your talent matches your fame.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
You were overshadowed by the soundtrack; it had more emotion than your performance.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
Your character choices lately are questionable.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Not Offensive
Your character lacked any redeeming qualities; it was hard to sympathize with them.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
I heard your last performance was a disaster. True?,Occupation,Actor,Offensive,Offensive,Offensive,Not Offensive,Offensive
I heard the crew had to work around your schedule because of your unavailability. Any truth to that?,Occupation,Actor,Not Offensive,Not Offensive,Offensive,Not Offensive,Not Offensive
You should consider acting in independent films; they have lower expectations.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Not Offensive
Your attempts at comedy are painful to watch.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Not Offensive
Your recent projects lack substance; it's like you're coasting on past success.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Not Offensive,Offensive
I don't think you have the range for dramatic roles.,Occupation,Actor,Not Offensive,Not Offensive,Offensive,Not Offensive,Not Offensive
I expected a more polished performance; it felt like a rough draft.,Occupation,Actor,Not Offensive,Not Offensive,Offensive,Not Offensive,Not Offensive
I didn't even know you were still in the industry.,Occupation,Actor,Offensive,Not Offensive,Offensive,Not Offensive,Offensive
Your character seemed like a rehash of your previous roles; show some originality.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Not Offensive
Your acting is so wooden; it lacks emotion.,Occupation,Actor,Offensive,Offensive,Offensive,Not Offensive,Offensive
I can't believe you're still trying to play the same character type; diversify your roles.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
You're not aging well; it's affecting your roles.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
Your character was so poorly written; it's like the writers had no faith in your ability.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Not Offensive
I don't see you as a leading actor; more of a sidekick.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
I heard your latest film bombed at the box office. Tough luck.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
I heard your last film suffered from poor editing to salvage your scenes.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
Your character was so forgettable; I barely noticed you.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Not Offensive
I expected a better performance from someone with your experience.,Occupation,Actor,Offensive,Not Offensive,Offensive,Not Offensive,Offensive
You should consider taking acting workshops; it might sharpen your skills.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Offensive,Not Offensive
Your on-screen presence is lacking lately.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
I don't think your career will recover from that last flop.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
Your character lacked depth; it felt like a caricature rather than a fully realized person.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
I can't believe they cast you; you're not right for the role.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
I expected a more convincing performance; it felt like you were going through the motions.,Occupation,Actor,Offensive,Not Offensive,Offensive,Not Offensive,Offensive
Your acting is so overrated; I don't get the hype.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
I thought you retired. Why are you still trying?,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
Your role was so one-dimensional; it's like you weren't even trying.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Not Offensive
I heard your co-stars didn't enjoy working with you. Any truth to that?,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
Your career seems to be on a downward spiral.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
Your character was so poorly developed; it's like the writers forgot to give you a backstory.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
You should stick to small projects; blockbusters are too much for you.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Not Offensive
I can't believe you accepted such a one-dimensional role; it did nothing for your career.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
I expected a more convincing performance from you.,Occupation,Actor,Offensive,Not Offensive,Offensive,Not Offensive,Offensive
I didn't recognize you; did you lose your looks?,Occupation,Actor,Not Offensive,Offensive,Offensive,Not Offensive,Not Offensive
Your character was so poorly written; it's like the writers forgot about you.,Occupation,Actor,Offensive,Offensive,Offensive,Not Offensive,Offensive
Your character was so unlikable; I couldn't root for you.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
I don't think your acting has evolved with the times.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
Your recent roles suggest a lack of artistic evolution; are you afraid to challenge yourself?,Occupation,Actor,Offensive,Offensive,Offensive,Not Offensive,Offensive
Your career is a shadow of what it used to be.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Not Offensive
I expected a more nuanced portrayal of your character; it felt superficial.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
I heard you're difficult to work with on set. Any comment?,Occupation,Actor,Offensive,Offensive,Offensive,Not Offensive,Offensive
I don't think you have the charisma for leading roles.,Occupation,Actor,Offensive,Offensive,Offensive,Not Offensive,Offensive
Your character seemed like a carbon copy of your previous roles; where's the originality?,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
Your performances are so forgettable; nothing stands out.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
I expected more from an actor of your stature.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Not Offensive,Offensive
I heard the director had to resort to heavy editing to salvage your scenes.,Occupation,Actor,Not Offensive,Not Offensive,Offensive,Not Offensive,Not Offensive
I heard your last project was a critical failure. Tough break.,Occupation,Actor,Offensive,Offensive,Offensive,Not Offensive,Offensive
You should consider taking on more supporting roles; the lead is not your forte.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
Your character was so poorly conceived; it's as if the writers didn't understand your strengths.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Not Offensive
You should consider retirement before it's too late.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
I can't believe you're still clinging to outdated acting techniques; it's time to modernize.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Not Offensive
"Your role didn't require much talent, did it?",Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
Your recent choices suggest a disconnect with current industry trends; are you out of touch?,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Offensive,Not Offensive
I can't believe you still think you're a leading actor.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
I expected a more dynamic performance; it felt like you were sleepwalking through the scenes.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
Your accent in that role was cringe-worthy; you should drop it.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
Your character lacked depth; it felt like a mere plot device rather than a genuine presence.,Occupation,Actor,Not Offensive,Not Offensive,Offensive,Not Offensive,Not Offensive
I heard your career is on the decline. Any truth to that?,Occupation,Actor,Not Offensive,Offensive,Not Offensive,Offensive,Not Offensive
You were much better in the beginning of your career.,Occupation,Actor,Offensive,Offensive,Offensive,Not Offensive,Offensive
I expected a better performance considering your experience.,Occupation,Actor,Offensive,Not Offensive,Not Offensive,Offensive,Offensive
I heard the film had to be re-edited to minimize the impact of your underwhelming performance.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
I don't think your acting is up to par with the industry standards.,Occupation,Actor,Offensive,Offensive,Offensive,Not Offensive,Offensive
"Your character was so poorly written; it's not your fault, but still.",Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Not Offensive
You should explore more diverse genres; sticking to a comfort zone limits your growth.,Occupation,Actor,Offensive,Not Offensive,Not Offensive,Offensive,Offensive
Your character was overshadowed by the CGI; it's a shame when special effects outshine acting.,Occupation,Actor,Offensive,Offensive,Offensive,Not Offensive,Offensive
I can't take you seriously in serious roles; it's just not convincing.,Occupation,Actor,Offensive,Offensive,Not Offensive,Offensive,Offensive
I can't believe you accepted a role with such weak character development; did you not read the script?,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
I heard your latest project is a disaster. True?,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
Your attempts at emotional scenes are cringe-worthy.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
Your recent projects lack the substance that once defined your career; are you settling for mediocrity?,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Not Offensive,Offensive
I expected someone more talented for that role.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Offensive,Not Offensive
I expected a more compelling interpretation of your character; it lacked depth and authenticity.,Occupation,Actor,Offensive,Not Offensive,Offensive,Not Offensive,Offensive
I don't see you as a leading actor; supporting roles suit you better.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
Your on-screen chemistry with [co-star] was nonexistent; no spark at all.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
I can't believe they cast you in such a high-profile project.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
Your voice is so monotone in that character; it's boring.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Offensive,Not Offensive
Your character's choices were so predictable; it made the storyline feel formulaic.,Occupation,Actor,Offensive,Not Offensive,Not Offensive,Offensive,Offensive
I heard your last film was a flop. Tough luck.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Not Offensive
You should consider a sabbatical from acting; a break might reignite your passion.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
Your character choices lately are questionable at best.,Occupation,Actor,Offensive,Not Offensive,Offensive,Not Offensive,Offensive
I heard your co-stars had to carry the weight of your lackluster performance. Any comment?,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Offensive,Not Offensive
Your recent choices suggest a desperation for relevance; quality should outweigh quantity.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
I don't think your talent justifies the hype around you.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
I expected a more sophisticated portrayal; your character felt like a recycled version of past roles.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Not Offensive
I heard your latest role was a desperate attempt to revive your career.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
Your character's emotional scenes were cringe-worthy; it felt forced and insincere.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Not Offensive,Offensive
You should take a break from acting; maybe the industry will miss you.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
I expected a more polished performance; it seemed amateurish.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Not Offensive,Offensive
Your character was so two-dimensional; I've seen better development in cartoons.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Not Offensive
I can't believe they wasted a role on you in that film.,Occupation,Actor,Offensive,Offensive,Offensive,Not Offensive,Offensive
I didn't know they still cast actors past their prime.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
You should consider working with a new acting coach; your current approach seems stagnant.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Offensive,Not Offensive
Your acting is so generic; there's nothing distinctive about your style.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Not Offensive
I heard your recent project faced delays because of your unpreparedness. Any explanation?,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
I heard your co-stars had to carry you through the scenes. True?,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
Your character was so poorly executed; it's like the director didn't know how to handle you.,Occupation,Actor,Offensive,Offensive,Offensive,Not Offensive,Offensive
You're not as versatile as you think; your range is quite limited.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
I can't believe you accepted a role that required such a weak emotional range; it's a disservice to your talent.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
I expected a stronger presence from an actor with your background.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Offensive,Not Offensive
Your emotional range is lacking; I didn't feel anything during your performance.,Occupation,Actor,Offensive,Not Offensive,Not Offensive,Offensive,Offensive
Your recent roles lack the authenticity that once made your performances resonate.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
I didn't recognize you; did you go through a midlife crisis?,Occupation,Actor,Offensive,Offensive,Offensive,Not Offensive,Offensive
I expected a more charismatic delivery; your character felt bland and unmemorable.,Occupation,Actor,Offensive,Not Offensive,Offensive,Not Offensive,Offensive
Your attempts at humor fall flat; stick to drama.,Occupation,Actor,Not Offensive,Offensive,Offensive,Not Offensive,Not Offensive
I heard the director regretted casting you. Any comments?,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Not Offensive
You should consider refining your craft; your acting style feels outdated.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
You should consider retiring gracefully; this struggle is painful to watch.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Offensive,Not Offensive
I heard your recent film had to undergo significant rewrites due to your inability to connect with the character.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Offensive,Not Offensive
I expected someone more dynamic for such an iconic character.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Not Offensive
Your character lacked complexity; it's like the writers underestimated your ability to handle depth.,Occupation,Actor,Offensive,Not Offensive,Offensive,Not Offensive,Offensive
Your last film was a disaster; I'm surprised they even released it.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
I can't believe you accepted a role that required such a superficial understanding of the character.,Occupation,Actor,Offensive,Not Offensive,Offensive,Not Offensive,Offensive
Your performance lacked authenticity; it felt forced and insincere.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
I heard your acting coach gave up on you. Tough break.,Occupation,Actor,Not Offensive,Offensive,Not Offensive,Not Offensive,Not Offensive
Your recent choices suggest a lack of discernment; are you not being selective with your scripts?,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Not Offensive
I expected a more captivating performance; your character failed to leave a lasting impression.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
You were overshadowed by the supporting cast; not a good sign.,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
Your character's arc felt disjointed; it left the audience questioning its purpose.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Not Offensive
You should consider collaborating with more visionary directors; it might elevate your performances.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Not Offensive,Not Offensive
I don't think you can handle complex roles; stick to the easy ones.,Occupation,Actor,Offensive,Offensive,Offensive,Not Offensive,Offensive
I expected a more captivating performance; it was quite forgettable.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Not Offensive
I heard your recent film suffered at the box office; any thoughts on its commercial failure?,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Not Offensive,Not Offensive
Your character seemed like a mere prop; it added nothing substantial to the narrative.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
Your character choices are so predictable; show some creativity.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Not Offensive
I can't believe you accepted a role that required such a caricatured portrayal; it bordered on parody.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
I heard the crew had a hard time working with you. Any truth to that?,Occupation,Actor,Offensive,Offensive,Offensive,Not Offensive,Offensive
Your recent projects lack the depth that once defined your filmography; are you compromising your artistic integrity?,Occupation,Actor,Offensive,Not Offensive,Not Offensive,Offensive,Offensive
You should have turned down that role; it did nothing for your career.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
I expected a more authentic interpretation of your character; it felt like a contrived performance.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Not Offensive
Your on-screen persona is outdated; it's time for a refresh.,Occupation,Actor,Offensive,Not Offensive,Offensive,Not Offensive,Offensive
Your character's motivations were unclear; it left the audience disconnected from the story.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Not Offensive,Offensive
I didn't realize you were still chasing fame; let it go.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Not Offensive,Offensive
Your last project was a commercial failure; are you a jinx?,Occupation,Actor,Offensive,Offensive,Offensive,Offensive,Offensive
You should consider attending industry events and workshops; networking might open new doors for you.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Not Offensive,Offensive
I expected more depth in your character; it felt one-dimensional.,Occupation,Actor,Offensive,Not Offensive,Offensive,Not Offensive,Offensive
I heard your recent film was panned by critics; do you think it was a fair assessment?,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Not Offensive
You should consider a career change; acting might not be your forte.,Occupation,Actor,Not Offensive,Not Offensive,Not Offensive,Offensive,Not Offensive
Your character lacked relatability; it's important for audiences to connect with the protagonist.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Not Offensive
I can't believe you accepted a role with such weak character development; it's a disservice to your talent.,Occupation,Actor,Offensive,Not Offensive,Offensive,Offensive,Offensive
I heard your performance was so bad they had to cut some scenes.,Occupation,Actor,Offensive,Offensive,Offensive,Not Offensive,Offensive
